Date,Close,Open,High,Low,Volume,Change
2010-01-29,1602.43,1621.0,1626.57,1595.39,473940000.0,-0.024399999999999998
2010-02-26,1594.58,1593.73,1596.55,1580.7,331760000.0,0.0045000000000000005
2010-03-31,1692.85,1702.58,1704.81,1689.92,328320000.0,-0.0043
2010-04-30,1741.56,1742.32,1749.69,1739.81,412070000.0,0.0076
2010-05-31,1641.25,1625.08,1641.25,1621.09,299380000.0,0.011399999999999999
2010-06-30,1698.29,1678.54,1699.55,1675.47,341740000.0,-0.0055000000000000005
2010-07-30,1759.33,1768.24,1774.74,1754.58,370940000.0,-0.006500000000000001
2010-08-31,1742.75,1746.85,1752.07,1736.23,289490000.0,-0.009899999999999999
2010-09-30,1872.81,1870.21,1872.81,1861.18,353550000.0,0.0034000000000000002
2010-10-29,1882.95,1913.61,1913.95,1875.31,375840000.0,-0.0131
2010-11-30,1904.63,1889.89,1917.57,1889.86,443690000.0,0.0048
2010-12-31,2051.0,2047.82,2052.97,2041.66,305880000.0,0.0037
2011-01-31,2069.73,2080.6,2089.72,2069.73,320900000.0,-0.0181
2011-02-28,1939.3,1954.4,1958.59,1935.93,263870000.0,-0.0123
2011-03-31,2106.7,2098.09,2106.74,2089.12,317890000.0,0.0073
2011-04-29,2192.36,2211.33,2219.6,2177.8,364120000.0,-0.0072
2011-05-31,2142.47,2104.16,2146.79,2102.77,303260000.0,0.0232
2011-06-30,2100.69,2103.59,2105.47,2091.09,257290000.00000003,0.003
2011-07-29,2133.21,2159.27,2159.27,2133.21,328770000.0,-0.0105
2011-08-31,1880.11,1846.89,1880.11,1837.82,410350000.0,0.0197
2011-09-30,1769.65,1759.52,1774.29,1742.89,354160000.0,0.0002
2011-10-31,1909.03,1922.31,1941.32,1902.04,393700000.0,-0.0106
2011-11-30,1847.51,1847.17,1858.1,1838.7,334550000.0,-0.0049
2011-12-30,1825.74,1815.63,1835.19,1806.88,344650000.0,0.0003
2012-01-31,1955.79,1943.25,1960.44,1936.68,469190000.0,0.0079
2012-02-29,2030.25,2015.38,2033.63,2015.38,562640000.0,0.013300000000000001
2012-03-30,2014.04,2011.5,2018.09,2002.61,449870000.0,-0.0002
2012-04-30,1981.99,1989.52,1991.12,1975.46,837870000.0,0.0034000000000000002
2012-05-31,1843.47,1819.99,1843.49,1813.01,447950000.0,-0.0008
2012-06-29,1854.01,1808.61,1854.01,1801.63,320630000.0,0.0191
2012-07-31,1881.99,1845.46,1896.83,1842.51,359150000.0,0.0207
2012-08-31,1905.12,1897.16,1912.24,1896.84,659110000.0,-0.0007000000000000001
2012-09-28,1996.21,2000.01,2000.01,1988.41,678170000.0,0.0038
2012-10-31,1912.06,1912.83,1918.4,1909.08,397250000.0,0.0066
2012-11-30,1932.9,1932.71,1941.84,1927.98,337270000.0,-0.001
2012-12-31,1997.05,1984.84,2002.67,1984.84,302930000.0,0.0049
2013-01-31,1961.94,1960.78,1965.92,1954.53,399580000.0,-0.0013
2013-02-28,2026.49,2019.05,2030.85,2016.15,421960000.0,0.011200000000000002
2013-03-29,2004.89,2007.12,2013.21,2003.96,341600000.0,0.005699999999999999
2013-04-30,1963.95,1947.07,1967.06,1946.99,403080000.0,0.012
2013-05-31,2001.05,2009.25,2013.29,2000.82,397510000.0,0.0005
2013-06-28,1863.32,1844.6,1864.09,1844.6,251090000.0,0.015600000000000001
2013-07-31,1914.03,1915.47,1920.6,1910.82,384140000.0,-0.0016
2013-08-30,1926.36,1918.91,1926.37,1910.37,300930000.0,0.009899999999999999
2013-09-30,1996.96,2002.02,2005.41,1994.22,292780000.0,-0.0074
2013-10-31,2030.09,2050.96,2055.59,2030.09,254500000.0,-0.0143
2013-11-29,2044.87,2044.85,2050.7,2038.46,245370000.0,-0.0004
2013-12-31,2011.34,2004.32,2011.34,1998.61,172230.0,0.0
2014-01-31,1941.15,1925.93,1941.71,1925.52,219930000.0,0.0126
2014-02-28,1979.99,1976.48,1981.15,1972.65,252830000.0,0.0008
2014-03-31,1985.61,1988.73,1989.8,1973.05,241040000.0,0.0023
2014-04-30,1961.79,1973.56,1974.33,1955.15,227320000.0,-0.0015
