,Symbol,Name,Sector,Industry
547,025770,한국정보통신,전기 통신업,신용카드조회기
548,037230,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업",카톤팩
549,070590,한솔인티큐브,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷
550,264290,한화에이스스팩3호,금융 지원 서비스업,기업인수합병
551,220180,핸디소프트,소프트웨어 개발 및 공급업,"EKP, BPM, 네트워크장비"
552,170030,현대공업,자동차 신품 부품 제조업,"시트패드, 암레스트, 헤드레스트"
553,053660,현진소재,기타 금속 가공제품 제조업,선박용 엔진부품
554,011080,형지I&C,봉제의복 제조업,남성셔츠
555,028080,휴맥스홀딩스,기타 금융업,위성방송수신기
556,084110,휴온스글로벌,기타 금융업,"비만치료제,국소마취제등"
557,112190,KC산업,"시멘트, 석회, 플라스터 및 그 제품 제조업",철강보강콘크리트제품
558,284610,TS트릴리온,기타 화학제품 제조업,탈모 샴푸 및 헤어케어 제품 등
559,076340,관악산업,기반조성 및 시설물 축조관련 전문공사업,"수중공사, 준설공사 등"
560,243870,굿센,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","건설ERP, 공공클라우드"
561,229500,노브메타파마,자연과학 및 공학 연구개발업,대사질환 신약 개발 및 건강기능식픔
562,176750,듀켐바이오,의약품 제조업,"방사성의약품, 의료기기, 장비, 암진단의약품 도매, 무역 장비 임대 암진단의약품 등 제조"
563,148780,비플라이소프트,소프트웨어 개발 및 공급업,"아이서퍼, e-NIE, 파오인 등"
564,217320,썬테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","자기진단형 발전기, 영구자석 회전자 발전기"
565,266170,앤유엔터테인먼트,"영화, 비디오물, 방송프로그램 제작 및 배급업",TV 드라마 등
566,208890,에듀파트너,교육지원 서비스업,방과후 교육
567,270210,에스알바이오텍,기타 화학제품 제조업,화장품 제조 및 유통
568,224020,에스케이씨에스,플라스틱제품 제조업,
569,179720,옐로페이,소프트웨어 개발 및 공급업,전자지급결제 서비스
570,065370,위세아이텍,소프트웨어 개발 및 공급업,"WISE Intelligence, WISE DQ, WISE Prophet 등"
571,230400,자비스,의료용 기기 제조업,X-ray 검사장비
572,225220,제놀루션,의약품 제조업,"RNAi, 핵산추출기기"
573,221670,주노콜렉션,"가죽, 가방 및 유사제품 제조업","핸드백, 지갑 등"
574,308700,테크엔,전구 및 조명장치 제조업,LED조명장치
575,217950,파마리서치바이오,자연과학 및 공학 연구개발업,"메디컬 에스테틱, 생물학적 제재"
576,222670,플럼라인생명과학,자연과학 및 공학 연구개발업,"강아지암치료제,돼지DNA테라피"
577,284420,휴럼,기타 식품 제조업,"건강기능식품, 유산균 관련 제품"
578,079160,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영"
579,000120,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
580,037560,CJ헬로,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
581,012630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업"
582,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
583,025000,KPX케미칼,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매"
584,000040,KR모터스,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매"
585,023150,MH에탄올,알코올음료 제조업,"주정,탄산가스 제조"
586,010950,S-Oil,석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매"
587,034120,SBS,텔레비전 방송업,"TV,라디오방송,광고"
588,017670,SK텔레콤,전기 통신업,"이동전화,무선호출서비스,부가통신"
589,037270,YG PLUS,"인형,장난감 및 오락용품 제조업","광고대행,광고물 제작"
590,000050,경방,방적 및 가공사 제조업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입"
591,004200,고려개발,토목 건설업,"도로건설공사,토목공사,건축공사"
592,005320,국동,생활용품 도매업,"셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대"
593,002720,국제약품,의약품 제조업,"항생제,안약,제약 제조,도매"
594,001570,금양,기초 화학물질 제조업,"발포제,사카린,OPTSA,베나졸,TCA 제조"
595,001260,남광토건,토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조"
596,002070,남영비비안,봉제의복 제조업,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대"
597,002350,넥센타이어,고무제품 제조업,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조"
598,005250,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업,"알부민,유로키나제,간염백신,유행성출혈열백신 제조"
599,072710,농심홀딩스,기타 금융업,"지주회사,투자자문,경영컨설팅 서비스"
600,058730,다스코,"구조용 금속제품, 탱크 및 증기발생기 제조업","데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업"
601,084690,대상홀딩스,기타 금융업,지주회사
602,069620,대웅제약,의약품 제조업,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대"
603,006650,대한유화,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,나프타분해유분,올레핀류,혼합C4류,분해가솔린 제조"
604,004830,덕성,플라스틱제품 제조업,"플라스틱레쟈,합성수지,합성피혁 제조,도매"
605,083380,동북아13호선박투자,운송장비 임대업,운수장비 임대
606,026960,동서,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등"
607,028100,동아지질,기반조성 및 시설물 축조관련 전문공사업,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리"
608,006040,동원산업,어로 어업,"원양어업,수산물가공(참치캔,맛김,어묵,맛살),도소매/음료사업(상쾌한아침)"
609,000020,동화약품,의약품 제조업,"의약품 제조,판매,수출입"
610,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업"
611,007340,디티알오토모티브,일차전지 및 축전지 제조업,자동차용 밧데리
612,026890,디피씨,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전자레인지용 고압변성기,리엑터,디지탈위성방송수신기 제조"
613,088980,맥쿼리인프라,신탁업 및 집합투자업,증권투자회사
614,017180,명문제약,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매"
615,009680,모토닉,자동차 신품 부품 제조업,"자동차용 기화기(캬브레타,다이캐스트,연료펌프) 제조,판매"
616,134380,미원화학,기타 화학제품 제조업,"계면활성제, 황산및분황"
617,096300,베트남개발1,신탁업 및 집합투자업,투자신탁
618,005180,빙그레,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조"
619,018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO"
620,010140,삼성중공업,선박 및 보트 건조업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업"
621,016360,삼성증권,금융 지원 서비스업,"유가증권의 매매,위탁매매,인수주선"
622,002170,삼양통상,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역"
623,002810,삼영무역,기타 전문 도매업,"화공약품, 안경렌즈"
624,009770,삼정펄프,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매"
625,010960,삼호개발,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대"
626,000390,삼화페인트공업,기타 화학제품 제조업,"유성페인트,수성페인트,PCM도료 제조"
627,248170,샘표식품,기타 식품 제조업,간장
628,003080,성보화학,"비료, 농약 및 살균, 살충제 제조업","완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매"
629,134790,시디즈,가구 제조업,의자
630,011930,신성이엔지,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비"
631,001720,신영증권,금융 지원 서비스업,증권업
632,001770,신화실업,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매"
633,102280,쌍방울,봉제의복 제조업,
634,183190,아세아시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 몰탈"
635,298690,에어부산,항공 여객 운송업,항공 여객 및 화물 운송
636,138250,엔에스쇼핑,무점포 소매업,TV홈쇼핑
