Date,Open,High,Low,Close,Volume
1980-01-31,100,106.87,100,105.89
1980-02-29,104.48,106.08,103.46,103.74
1980-03-31,103.96,107.22,102.76,105
1980-04-30,105.43,118.21,105.43,116.09
1980-05-30,116.54,119.36,109.47,116.43
1980-06-30,116.77,116.77,111.65,112.62
1980-07-31,112.05,112.75,109.82,112.71
1980-08-29,112.28,113.81,106.99,112.65
1980-09-30,112.55,113.72,109.52,110.35
1980-10-31,109.85,111.71,105.71,105.71
1980-11-28,105.48,107.5,102.84,106.93
1980-12-31,106.74,106.87,104.6,106.87
1981-01-30,97.9,108.3,93.1,105.7
1981-02-27,105.6,106,102.7,104.1
1981-03-31,104.2,107.4,103,107.4
1981-04-30,107.6,122.4,107.6,122.4
1981-05-29,123.6,126.5,118.7,126.3
1981-06-30,126.4,150.8,126.4,150.8
1981-07-31,156.4,165.9,144.4,148.1
1981-08-31,148.3,151.9,140.1,140.1
1981-09-30,140.4,146.2,132.3,132.3
1981-10-30,136.3,142.6,121.3,123
1981-11-30,123.8,137.1,121.5,132.4
1981-12-31,131.4,131.4,128.4,131.3
1982-01-29,123.6,129.22,121.66,125.65
1982-02-26,125.12,128.78,122.84,128.78
1982-03-31,128.97,134.48,125.58,127.83
1982-04-30,126.35,126.73,119.67,121.4
1982-05-31,119.76,119.76,105.99,114.57
1982-06-30,116.13,124.04,112.92,123.64
1982-07-30,121.25,125.08,116.51,125.08
1982-08-31,124.97,127.31,121.55,121.94
1982-09-30,121.99,121.99,115.51,119.71
1982-10-29,120.05,121.91,116.42,121.91
1982-11-30,123.08,123.88,121.33,123.66
1982-12-31,124.67,128.99,124.67,128.99
1983-01-31,122.52,122.81,117.05,118.27
1983-02-28,118.03,123.9,118.03,123.5
1983-03-31,121.84,122.59,118.1,119.8
1983-04-29,120.03,131.44,119.48,131.44
1983-05-31,132.91,134.46,123.61,125.76
1983-06-30,125.84,125.84,121.89,122.44
1983-07-29,122.48,125.04,121.04,125.04
1983-08-31,124.6,124.68,118.82,118.82
1983-09-30,117.68,121.63,116.68,117.71
1983-10-31,117.61,121.42,115.59,121.42
1983-11-30,121.35,121.93,117.61,117.63
1983-12-30,117.93,121.6,117.04,121.21
1984-01-31,115.25,124.08,115.25,124.08
1984-02-29,126.78,132.59,126.69,129.66
1984-03-30,129.01,133.35,126.33,133.35
1984-04-30,133.35,135.6,130.78,135.6
1984-05-31,134.95,136.23,129.24,130.48
1984-06-29,131.18,136.24,129.51,130.28
1984-07-31,130.28,135.43,130.22,134.54
1984-08-31,134.54,137.23,133.27,136.11
1984-09-28,136.11,136.76,131.89,134.14
1984-10-31,134.14,134.54,129.82,129.82
1984-11-30,129.82,135.54,129.5,135.54
1984-12-31,135.54,142.46,135.54,142.46
1985-01-31,139.53,145.51,137.81,138.9
1985-02-28,138.84,138.84,133.37,134.93
1985-03-29,134.93,136.46,132.42,136.46
1985-04-30,136.3,138.42,134.15,134.15
1985-05-31,134.06,134.44,131.4,134.09
1985-06-28,134.24,140.77,133.62,136.58
1985-07-31,136.83,137.38,134.33,137.38
1985-08-30,137.59,138.75,134.84,136.49
1985-09-30,136.03,138.91,134.87,138.91
1985-10-31,139.65,142.42,138.39,140.89
1985-11-29,140.67,150.16,140.65,150.16
1985-12-31,151.26,163.37,149.74,163.37
1986-01-31,161.4,161.4,153.85,160.42
1986-02-28,162.45,177.78,161.73,175.91
1986-03-31,179.33,199.76,179.33,199.76
1986-04-30,200.15,217,193.39,202.91
1986-05-30,202.88,231.06,198.14,231.06
1986-06-30,231.85,250.68,226.79,243.36
1986-07-31,249.32,274.2,249.32,273.75
1986-08-29,267.56,273.97,262.51,264.64
1986-09-30,262.34,268.21,252.39,253.45
1986-10-31,253.54,258.43,225.91,240.79
1986-11-28,244.41,269.18,244.41,268.98
1986-12-31,275.15,279.67,266.43,272.61
1987-01-30,264.82,310.22,264.82,310.22
1987-02-27,310.83,334.98,305.52,334.98
1987-03-31,337.85,405.13,337.85,405.13
1987-04-30,396.9,398.72,349.49,358.63
1987-05-29,364.55,397.62,364.55,387.99
1987-06-30,387.44,411.76,378.21,411.76
1987-07-31,411.94,485.48,411.03,485.48
1987-08-31,481.5,507.07,461.87,474.01
1987-09-30,468.38,498.34,464.88,485.35
1987-10-30,491.6,517.15,491.6,509.05
1987-11-30,510.28,510.28,455.77,475.59
1987-12-31,490.45,525.11,465.36,525.11
1988-01-29,532.04,642.11,527.89,633.58
1988-02-29,653.51,668.56,612.35,612.35
1988-03-31,608.24,656.47,603.41,656.47
1988-04-29,654.32,658.66,618.73,647.18
1988-05-31,650.03,717.35,634.05,717.35
1988-06-30,723.5,737.83,683.7,702.83
1988-07-29,706.3,721.08,665.79,721.08
1988-08-31,714.83,714.83,662.69,664.43
1988-09-30,675.67,689.07,662.55,677.54
1988-10-31,679.54,764.85,673.78,729.79
1988-11-30,736.81,836.07,736.81,831.12
1988-12-30,825,922.56,825,907.2
1989-01-31,919.61,920.28,855.96,884.29
